case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
random-8-hits,scan,3,contract,0,0,ubsan,0,4853ab7a2035da03b1ef1c16271aaae6e998dd109a710f704d055eb09361af50,0a04a44a6ed5b1b21fd90eb0385352604f8bb30c3fc61a4da52442713ee22e1f
random-8-misses,hash,0,contract,0,0,ubsan,0,78d72f3a038ddb71b4f7af409eb89840d14c51e7d704a23b87e114eebb0bcdd1,8ce2930c3e3101582b784cf77af665188831ab068f51a427c23b290d76c32cbd
random-8-misses,hash,1,contract,0,0,ubsan,0,c4b24250101d91c9ea0b74b28d35ba57d4101948295ddd91e63a6606398ac66e,1e6ee8d3828436bdc97f51b5aa6fa248af26674dd0358293bcdca102bc834ab2
random-8-misses,hash,3,contract,0,0,ubsan,0,edd27df2820cca13597f40ddc4c095b302bf9128f8887347eec234b1b7b221d1,958c9cdb3ecd2953d52aaa5d256a13f611ae1e532598af8eb30684a4c8523459
random-8-misses,scan,0,contract,0,0,ubsan,0,78d72f3a038ddb71b4f7af409eb89840d14c51e7d704a23b87e114eebb0bcdd1,35b0d9eb5e30100afd84750054763e67b23260d0ed47239192f6fb687b6dba87
random-8-misses,scan,1,contract,0,0,ubsan,0,c4b24250101d91c9ea0b74b28d35ba57d4101948295ddd91e63a6606398ac66e,0a474bccb3492236d0fa82552e6a99cf6cde48cc8f235f1eb98af537ff18c23d
random-8-misses,scan,3,contract,0,0,ubsan,0,edd27df2820cca13597f40ddc4c095b302bf9128f8887347eec234b1b7b221d1,4ac8f43a9979330971222b4f60b7889e922742e72cfd6ff543e1e4ac184eadf7
random-8-churn,hash,0,contract,0,0,ubsan,0,2e95f26b92198fd0ea3c24132f4133e9597e8da437088b4a6e2004f0aed72d08,8ce2930c3e3101582b784cf77af665188831ab068f51a427c23b290d76c32cbd
random-8-churn,hash,1,contract,0,0,ubsan,0,69cf44c4c35fc5c5c95ba01deec9d3aca1576b877c87ad7127a1354d15b221f2,28d171cde55d80b49d9c9a3f8e9b8b66f83c35eb2eec6c951d199929bb381f07
random-8-churn,hash,3,contract,0,0,ubsan,0,530059531e6ab7ce316278e213c7381554485001f2eff9c1438b851e0aeff519,c37e92a4bb1607a3991f45fb6b75cde836b349f998132c16193ffa05eef7b9ed
