case,async,pair,order,arm,repeats,work_sha256,repeat,wall_seconds,cpu_seconds,coordinator_seconds,stdout_sha256
single,True,1,1,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,2,0.269339175,0.08164600000000005,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
single,True,1,1,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,3,0.268708671,0.07926200000000061,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,1,1,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,4,0.269002677,0.07987399999999956,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
single,True,2,0,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.265041286,0.08133100000000021,0.211,dfc06bfc3a1a90b2e6b34aff637e066f69cc0ffc6b6ab2fab5e44571084f611a
single,True,2,0,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.269906899,0.08365700000000059,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,2,0,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,2,0.27026018,0.07832800000000034,0.215,bc0c48537e7fbf0b939d5984ff6660363d3740ee5aacd530812f0838b7200e5a
single,True,2,0,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,3,0.266401594,0.08280899999999952,0.211,dfc06bfc3a1a90b2e6b34aff637e066f69cc0ffc6b6ab2fab5e44571084f611a
single,True,2,0,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,4,0.269657456,0.07857000000000014,0.216,c6431f63731a0d7f8d52e2b9b0c17668ad10aeec5c7a5fcaaa03534d1b46b7e0
single,True,2,1,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.086269776,0.08709199999999984,0.026,9c032042244eb9dbd451f2fb3d8a8871cba96559e72a2ceefbaff58cc1fe492a
single,True,2,1,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.084072456,0.083785,0.023,f2b72aa5f91aa5c656c77dcfcd03a059c9dbfa5d9ee6076c4bd8769f7099c21f
single,True,2,1,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,2,0.087758967,0.08748100000000059,0.025,213392e6e847c503392c2e3f810998001e79d8bc5aea812e7356e107f1d2c7d6
single,True,2,1,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,3,0.077914253,0.07818500000000023,0.024,075debee36d8dade65c840b4443ef75f83f39a7ca38e65bae7565930f0d2e10a
single,True,2,1,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,4,0.082401229,0.08185900000000007,0.028,c5b14f581ae20e302f011d5960693fabee408778842eb08316ae018b2e1c986f
single,True,3,0,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.079561238,0.08035199999999959,0.025,213392e6e847c503392c2e3f810998001e79d8bc5aea812e7356e107f1d2c7d6
single,True,3,0,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,1,0.079070916,0.07950999999999908,0.025,213392e6e847c503392c2e3f810998001e79d8bc5aea812e7356e107f1d2c7d6
single,True,3,0,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,2,0.079423993,0.08009199999999983,0.024,075debee36d8dade65c840b4443ef75f83f39a7ca38e65bae7565930f0d2e10a
single,True,3,0,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,3,0.076840364,0.07667100000000032,0.023,f2b72aa5f91aa5c656c77dcfcd03a059c9dbfa5d9ee6076c4bd8769f7099c21f
single,True,3,0,notify,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,4,0.079189156,0.0799239999999991,0.025,213392e6e847c503392c2e3f810998001e79d8bc5aea812e7356e107f1d2c7d6
single,True,3,1,sleep,5,7afff25e8c06d24e34e350bacc8cbbe8ef74478a3dc2503e923c4dd1fd547ba2,0,0.275095885,0.0902870000000015,0.214,f6b2add1fe77485a618ee76c366080f066173306de5a88a3409158277e30e4ed
